model,vars,S,rel(S),Act,choices,*-opt,random,,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+
omdt-frozenlake_12x12,2,144,87.50,5,720,0.3487,0.0002,,8,8,0.3046,0.8736,932.43,1200.21,6,26,1e786,5709,1893,3816,372,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,1,1,955.2716,0.9935,3.99,7.26,1,1,1.00E+06,22,3,19,4,2
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,2,2,966.0764,0.9991,25.57,58.36,2,3,1.00E+14,232,59,173,28,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,3,3,967.7712,1,744.73,745.14,3,7,1.00E+30,3041,1197,1844,8,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,4,3,967.6131,0.9999,62.84,208.69,3,6,1.00E+30,676,268,408,6,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,5,3,967.6131,0.9999,62.8,178.67,3,6,1.00E+30,544,216,328,5,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,6,3,967.6131,0.9999,62.77,158.56,3,6,1.00E+30,455,180,275,5,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,7,3,967.6131,0.9999,62.86,144.34,3,6,1.00E+30,388,151,237,5,0
omdt-inventory_management,1,101,100.00,101,10201,967.8227,-960.241,,8,3,967.6131,0.9999,62.78,133.78,3,6,1.00E+30,341,132,209,5,0
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,1,1,203.4027,0.8357,0.32,5.17,0,0,800,112,8,104,29,0
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,2,2,209.9347,0.8879,66.39,849.59,2,2,1.00E+06,19848,1070,18778,5761,4
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,3,3,210.4755,0.8922,538.79,1200.06,3,3,1.00E+14,23420,1002,22418,6984,2
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,4,4,212.8986,0.9116,620.09,1200.1,4,8,1.00E+29,21014,3652,17362,3522,4
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,5,5,212.5772,0.909,308.11,1200.16,4,7,1.00E+59,11181,1424,9757,2368,0
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,6,6,212.5772,0.909,268.66,1200.28,4,7,1.00E+120,6336,1827,4509,353,0
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,7,7,212.5772,0.909,241.28,1200.11,4,7,1.00E+242,3579,1092,2487,144,0
omdt-system_administrator_1,8,256,100.00,10,2560,223.9561,98.8933,,8,8,213.6558,0.9176,1095.16,1201.5,8,49,1e486,541,167,374,33,1
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,1,1,146.6464,0.2705,4.91,16.97,1,1,800,236,6,230,74,3
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,2,2,182.81,0.5497,428,1200.1,2,2,1.00E+06,25771,717,25054,8319,5
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,3,3,176.4251,0.5004,670.98,1200.09,3,5,1.00E+14,23838,678,23160,7336,4
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,4,4,176.0062,0.4971,183.72,1200.09,3,5,1.00E+29,17414,992,16422,4877,0
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,5,5,176.0062,0.4971,153.84,1200.1,3,5,1.00E+59,9385,606,8779,3182,0
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,6,6,176.0062,0.4971,133.67,1200.06,3,5,1.00E+120,6402,334,6068,1861,0
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,7,7,176.0062,0.4971,119.55,1200.69,3,5,1.00E+242,2837,607,2230,390,0
omdt-system_administrator_2,8,256,100.00,10,2560,241.1455,111.6115,,8,8,180.8032,0.5342,638.76,1200.74,8,42,1e486,1665,468,1197,128,0
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,1,1,377.9102,0.2025,0.57,4.58,1,1,567,479,12,467,147,1
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,2,2,438.9329,0.4732,58.89,784.99,2,3,1.00E+06,80570,6250,74320,20606,0
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,3,3,461.7553,0.5744,335.71,1200.08,3,5,1.00E+13,69762,8578,61184,14683,0
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,4,4,494.2814,0.7187,1044.81,1200.1,4,8,1.00E+27,39150,1593,37557,11461,1
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,5,5,524.7605,0.8539,1093.55,1200.2,5,17,1.00E+56,16080,1502,14578,3862,4
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,6,6,512.6239,0.8001,1114.39,1200.26,6,22,1.00E+114,9664,2275,7389,952,2
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,7,7,557.693,1,558.42,558.63,7,31,1.00E+229,725,163,562,78,0
omdt-system_administrator_tree,7,128,100.00,9,1152,557.693,332.2623,,8,8,557.693,1,504.19,504.4,7,23,1e459,116,31,85,7,0
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,1,1,-0.7553,0.0333,3.61,31.67,1,1,2700,2855,71,2784,890,1
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,2,2,0.287,0.6162,81.51,1200.06,2,3,1.00E+08,88659,4405,84254,25165,4
omdt-tictactoe_vs_random,27,2424,99.96,10,24240,0.9734,-0.8149,,3,3,0.3547,0.654,1133.85,1200.07,3,6,1.00E+18,35355,687,34668,11104,0
