model,vars,S,rel(S),Act,choices,*-opt,random,Unnamed: 8,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+,dtcontrol nodes,dtcontrol depth,dtcontrol time,omdt time,omdt best,omdt bound,omdt depth,omdt nodes,omdt time (best)
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,4,4,0.201,0.5763,804.22,1200.08,4,13,1.00E+46,96621,29333,67288,9021,2,67,11,00:00:00.035,1200.337106466293,0.2757559312,0.3487237168,4,14,800
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,5,5,0.284,0.8142,326.21,1200.1,5,14,1.00E+96,41069,14771,26298,2251,0,67,11,00:00:00.035,1200.6357140541077,0.3053871031,0.3487237168,5,20,1166
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,6,6,0.3049,0.8742,1150.44,1200.21,6,25,1.00E+194,15419,5491,9928,940,3,67,11,00:00:00.035,1201.3203699588776,0.3071070773,0.3487237168,6,32,1192
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,7,7,0.3005,0.8615,520.89,1200.14,6,20,1e392,14128,4832,9296,746,0,67,11,00:00:00.035,1202.7079615592957,0.3010193082,0.3487237168,7,33,1196
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,8,8,0.3046,0.8736,932.43,1200.21,6,26,1e786,5709,1893,3816,372,0,67,11,00:00:00.035,1205.767050743103,0.3050695243,0.3487237168,8,53,1170
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,1,1,955.2716,0.9935,3.99,7.26,1,1,1.00E+06,22,3,19,4,2,14,6,00:00:00.012,151.57791113853455,955.3381979,955.3471857,1,1,121
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,2,2,966.0764,0.9991,25.57,58.36,2,3,1.00E+14,232,59,173,28,0,14,6,00:00:00.012,1212.670090675354,966.1477461,967.8976271,2,3,602
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,3,3,967.7712,1.0,744.73,745.14,3,7,1.00E+30,3041,1197,1844,8,0,14,6,00:00:00.012,1213.4269909858704,966.8791445,967.8976271,3,6,1192
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,4,3,967.6131,0.9999,62.84,208.69,3,6,1.00E+30,676,268,408,6,0,14,6,00:00:00.012,465.82590532302856,967.8666547,967.8976271,4,9,450
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,5,3,967.6131,0.9999,62.8,178.67,3,6,1.00E+30,544,216,328,5,0,14,6,00:00:00.012,1218.7800540924072,967.3221125,967.8976271,5,12,545
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,6,3,967.6131,0.9999,62.77,158.56,3,6,1.00E+30,455,180,275,5,0,14,6,00:00:00.012,1226.6681802272797,967.6203348,967.8976271,6,19,8
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,7,3,967.6131,0.9999,62.86,144.34,3,6,1.00E+30,388,151,237,5,0,14,6,00:00:00.012,1243.5840146541595,966.0977032,967.8976271,5,15,17
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,8,3,967.6131,0.9999,62.78,133.78,3,6,1.00E+30,341,132,209,5,0,14,6,00:00:00.012,1280.864137649536,965.9990591,967.8976271,6,19,1149
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,1,1,203.4027,0.8357,0.32,5.17,0,0,800,112,8,104,29,0,76,8,00:00:00.029,37.274192571640015,203.4167466,203.4167466,0,0,15
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,2,2,209.9347,0.8879,66.39,849.59,2,2,1.00E+06,19848,1070,18778,5761,4,76,8,00:00:00.029,887.3843176364899,209.9487522,209.9507201,2,3,874
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,3,3,210.4755,0.8922,538.79,1200.06,3,3,1.00E+14,23420,1002,22418,6984,2,76,8,00:00:00.029,1202.8348922729492,212.096542,223.9700971,3,7,1200
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,4,4,212.8986,0.9116,620.09,1200.1,4,8,1.00E+29,21014,3652,17362,3522,4,76,8,00:00:00.029,1203.08647441864,212.7379466,223.9700972,4,7,857
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,5,5,212.5772,0.909,308.11,1200.16,4,7,1.00E+59,11181,1424,9757,2368,0,76,8,00:00:00.029,1204.1304540634155,213.8327939,223.9700971,5,14,1169
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,6,6,212.5772,0.909,268.66,1200.28,4,7,1.00E+120,6336,1827,4509,353,0,76,8,00:00:00.029,1206.180891275406,213.9108241,223.9700972,6,41,1194
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,7,7,212.5772,0.909,241.28,1200.11,4,7,1.00E+242,3579,1092,2487,144,0,76,8,00:00:00.029,1210.7462356090546,214.9466197,223.9700972,7,36,4
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,8,8,213.6558,0.9176,1095.16,1201.5,8,49,1e486,541,167,374,33,1,76,8,00:00:00.029,1220.6554300785065,202.9294058,223.9700972,8,20,1165
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,1,1,146.6464,0.2705,4.91,16.97,1,1,800,236,6,230,74,3,41,8,00:00:00.017,233.6651012897492,146.6526731,146.6526731,1,1,157
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,2,2,182.81,0.5497,428.0,1200.1,2,2,1.00E+06,25771,717,25054,8319,5,41,8,00:00:00.017,1205.1671724319458,182.8170736,241.1535644,2,3,606
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,3,3,176.4251,0.5004,670.98,1200.09,3,5,1.00E+14,23838,678,23160,7336,4,41,8,00:00:00.017,1205.0897183418274,190.9166062,241.1535641,3,6,1030
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,4,4,176.0062,0.4971,183.72,1200.09,3,5,1.00E+29,17414,992,16422,4877,0,41,8,00:00:00.017,1205.5701477527618,187.8984721,241.1535637,4,9,1193
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,5,5,176.0062,0.4971,153.84,1200.1,3,5,1.00E+59,9385,606,8779,3182,0,41,8,00:00:00.017,1206.482416391373,203.2565727,241.1535637,5,17,953
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,6,6,176.0062,0.4971,133.67,1200.06,3,5,1.00E+120,6402,334,6068,1861,0,41,8,00:00:00.017,1209.0159585475922,196.4749047,241.1535637,6,28,1183
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,7,7,176.0062,0.4971,119.55,1200.69,3,5,1.00E+242,2837,607,2230,390,0,41,8,00:00:00.017,1213.206619501114,164.2873996,241.1535644,7,46,1197
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,8,8,180.8032,0.5342,638.76,1200.74,8,42,1e486,1665,468,1197,128,0,41,8,00:00:00.017,1222.713074207306,98.92101311,241.153564,0,0,8
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,1,1,377.9102,0.2025,0.57,4.58,1,1,567,479,12,467,147,1,12,7,00:00:00.006,27.657521963119507,377.933134,377.933134,1,1,18
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,2,2,438.9329,0.4732,58.89,784.99,2,3,1.00E+06,80570,6250,74320,20606,0,12,7,00:00:00.006,1200.6092128753662,433.8170864,496.8390392,2,3,1196
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,3,3,461.7553,0.5744,335.71,1200.08,3,5,1.00E+13,69762,8578,61184,14683,0,12,7,00:00:00.006,1200.6962714195251,467.7392011,557.7247113,3,7,466
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,4,4,494.2814,0.7187,1044.81,1200.1,4,8,1.00E+27,39150,1593,37557,11461,1,12,7,00:00:00.006,1200.9175391197205,536.4131408,557.7247113,4,12,1148
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,5,5,524.7605,0.8539,1093.55,1200.2,5,17,1.00E+56,16080,1502,14578,3862,4,12,7,00:00:00.006,1201.3673360347748,516.8098926,557.7247113,5,18,1147
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,6,6,512.6239,0.8001,1114.39,1200.26,6,22,1.00E+114,9664,2275,7389,952,2,12,7,00:00:00.006,1202.2737128734589,548.1366292,557.7247113,6,26,1196
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,7,7,557.693,1.0,558.42,558.63,7,31,1.00E+229,725,163,562,78,0,12,7,00:00:00.006,275.67117738723755,557.7200618,557.7247113,7,29,271
