model,max_depth,omdt time,omdt best,omdt bound,omdt depth,omdt nodes
wlan-1-2,2,1215.0410749912262,0.04457627433641574,0.10827098374814301,2,2
system_administrator_2,5,1206.4824163913727,203.25657271707377,241.15356366961734,5,17
wlan-1-2,3,1223.72483253479,0.04201439746501461,0.10827098374814301,3,6
system_administrator_2,6,1209.0159585475922,196.47490474230858,241.1535636697115,6,28
philosophers-4,7,1732.5311450958252,0.8802816139825077,2621833.3333321554,0,0
system_administrator_2,7,1213.206619501114,164.28739959945338,241.1535643633308,7,46
wlan-1-2,4,1242.7692701816559,0.038173480123536434,0.10827098374814312,0,0
system_administrator_2,8,1222.713074207306,98.9210131072249,241.15356399210452,0,0
system_administrator_tree,1,27.657521963119507,377.9331340251461,377.9331340349682,1,1
wlan-1-2,5,1282.0655653476715,0.03829941550496918,0.10827098374814215,5,23
philosophers-4,8,2341.1497373580933,0.8802816139825077,2621833.3333321554,0,0
system_administrator_tree,2,1200.6092128753662,433.8170864248241,496.8390391893161,2,3
wlan-1-2,6,1369.6521983146667,0.027387269954741562,0.10827098374814134,3,3
system_administrator_tree,3,1200.6962714195251,467.7392010508069,557.7247113347798,3,7
wlan-1-2,7,1553.2592480182648,0.02730039610596835,3503.0303030302975,7,7
system_administrator_tree,4,1200.9175391197205,536.4131408073761,557.7247113325318,4,12
system_administrator_tree,5,1201.3673360347748,516.8098926167305,557.7247113330893,5,18
wlan-1-2,8,1962.8700246810913,0.02730039610596835,3503.0303030302975,0,0
system_administrator_tree,6,1202.2737128734589,548.1366292109803,557.724711334824,6,26
system_administrator_tree,7,275.67117738723755,557.7200618218892,557.7247113345188,7,29
system_administrator_tree,8,1208.793924331665,537.7031494709221,557.7247113348418,8,28
tictactoe_vs_random,1,1202.9967510700226,-0.7553021850611481,0.9270603567184206,1,1
tictactoe_vs_random,2,1204.110027551651,0.24788362504957667,0.9734128595696818,2,3
tictactoe_vs_random,3,1206.3579885959625,-0.16304371878260876,0.9734128595696795,3,6
tictactoe_vs_random,4,1211.714751958847,-0.8380167997308825,0.9734128595696818,2,2
tictactoe_vs_random,5,1222.347608089447,-0.8149295734748085,0.9734128595696804,1,1
tictactoe_vs_random,6,1245.627794265747,-0.8149295734748085,0.9734128595696812,1,1
tictactoe_vs_random,7,1295.2916560173035,-0.8149295734748085,680.5705501510015,2,2
tictactoe_vs_random,8,1398.34592628479,-0.8149295734748085,680.5705501510015,1,1
traffic_intersection,1,14.133070468902588,-72.06684735640415,-72.06683505791119,1,1
traffic_intersection,2,115.613853931427,-0.21740124594433016,-0.2171856875249345,2,3
traffic_intersection,3,1200.6088004112244,1.004787753758199,2.1246016873858924,3,7
traffic_intersection,4,1200.8367295265198,2.114659582320901,2.1246055771434853,4,11
traffic_intersection,5,1201.3451044559479,2.1229514974057158,2.1245960403857596,5,18
traffic_intersection,6,1202.4605555534363,2.1206428469180296,2.124566698376928,6,32
traffic_intersection,7,1204.8075761795044,2.117806239264001,2.124552204802775,7,21
traffic_intersection,8,1209.8081319332123,1.9135431317882081,2.1245698833377875,7,42
